"case_id","case_type","priority","area","preconditions","steps","expected","automation","owner","gate_stage"
"CMD-001","functional","P0","L0","扩展已安装并启用","1. `Ctrl+Shift+P` 打开命令面板。<br>2. 执行 `CadToolOnline: Open CAD Editor`。","打开标题为 `CAD Editor` 的 Webview；状态从 `Initializing...` 变为 `Ready`。","Yes","SDET",""
"CMD-002","functional","P1","L0","已执行 CMD-001","1. 再次执行 `CadToolOnline: Open CAD Editor`。","不新增第二个 CAD Editor 面板，现有面板被激活/置前。","Yes","SDET",""
"CMD-003","functional","P1","L0","扩展已安装","1. 执行 `CadToolOnline: Open CADTool Docs`。","系统浏览器打开官方文档 URL，地址包含 `CADToolBox.html`；无失败提示。","No","QA手工",""
"CMD-004","functional","P0","L0","未打开 CAD Editor 面板","1. 执行 `CadToolOnline: Export CADTool Config`。","弹出信息：`Please open CAD Editor first, then export CADTool config.`","Yes","SDET",""
"CMD-005","functional","P0","L0","未打开 CAD Editor 面板","1. 执行 `CadToolOnline: Import CADTool Config`。","弹出信息：`Please open CAD Editor first, then import CADTool config.`","Yes","SDET",""
"CMD-006","functional","P1","L0","工作区存在 `cadtool.config.json`","1. 执行 `CadToolOnline: Refresh CADTool Index`。","弹出提示：`CADTool index refreshed`。","Yes","SDET",""
"CMD-007","functional","P1","L0","扩展已安装","1. 打开命令面板并输入 `CadToolOnline`。","命令列表包含 `Open CAD Editor`、`Open CADTool Docs`、`Refresh CADTool Index`、`Export CADTool Config`、`Import CADTool Config`。","Yes","SDET",""
"CMD-008","functional","P1","L0","新开工作区窗口","1. 新建文件 `cadtool.config.json` 并打开。<br>2. 在 JSON 中输入 `""` 触发补全。","无需手工先执行激活命令，已出现 CADTool 相关字段补全（如 `group`、`marker`）。","Yes","SDET",""
"WV-001","functional","P0","L2","执行 CMD-001","1. 观察面板底部状态栏。","Webview 初始化完成后显示 `Ready`，无 `Initialization failed`。","No","Webview QA",""
"WV-002","functional","P1","L2","已打开 CAD Editor","1. 点击 Ribbon `IMP`。<br>2. 在文件选择框点击取消。","不报错；模型树仍为 `No model loaded`；状态保持 `Ready`。","No","Webview QA",""
"WV-003","functional","P0","L3","已打开 CAD Editor，准备好 `qa-data/valid-2parts.step`","1. 点击 Ribbon `IMP`。<br>2. 选择有效 STEP 文件导入。","3D 视图加载模型；模型树出现节点；状态最终回到 `Ready`。","No","Webview QA",""
"WV-004","functional","P0","L2","已导入模型","1. 在模型树点击任一零件节点。","该节点高亮选中；右侧 Properties 面板显示对应对象信息。","No","Webview QA",""
"WV-005","functional","P1","L2","已导入模型","1. 在 3D 视图点击可选中实体。","模型树同步到对应节点；Properties 面板同步更新（避免选择环路）。","No","Webview QA",""
"WV-006","functional","P1","L2","已导入模型且已手动旋转/平移视角","1. 点击 Ribbon `FIT`。","模型重新居中并完整进入视口。","No","Webview QA",""
"WV-007","functional","P0","L2","已导入模型并产生过选择","1. 点击 Ribbon `CLR`。","模型树恢复 `No model loaded`；Properties 恢复默认提示；状态 `Ready`；历史选择被清空。","No","Webview QA",""
"WV-008","functional","P1","L2","已导入模型","1. 切到其他编辑器标签页。<br>2. 返回 `CAD Editor`。","由于 `retainContextWhenHidden=true`，模型与 UI 状态保留，不会自动清空。","No","Webview QA",""
"WV-009","functional","P1","L2","当前场景为空","1. 点击 Ribbon `X`（爆炸视图）。","弹出提示 `Please load a model first`；不进入爆炸模式。","No","Webview QA",""
"WV-010","functional","P1","L2","已导入模型","1. 点击 Ribbon `X`。<br>2. 拖动爆炸滑块到 `50%`。<br>3. 再关闭爆炸模式。","进入爆炸模式时出现滑块；拖动后模型分离；退出后滑块回 `0%` 且模型复位。","No","Webview QA",""
"RIB-001","functional","P0","L3","已导入模型并选中 1 个零件","1. 点击 Ribbon `createGroup`。","状态信息包含 `Group created`；Properties 出现 `Group Properties`；成员包含当前选中零件。","No","Webview QA",""
"RIB-002","functional","P1","L2","已完成 RIB-001","1. 点击 Ribbon `createChildGroup`。","新建子组成功；Properties 中 `Parent` 指向上一组 ID。","No","Webview QA",""
"RIB-003","functional","P1","L2","场景已清空，且没有任何 group","1. 点击 Ribbon `groupProperties`。","弹出提示 `No group available. Please create a group first.`","No","Webview QA",""
"RIB-004","functional","P0","L2","已导入模型但未选中零件","1. 点击 Ribbon `createFrame`。","弹出提示 `Please select a part first to create a marker`。","No","Webview QA",""
"RIB-005","functional","P0","L3","已导入模型并选中零件","1. 点击 Ribbon `createFrame`。<br>2. 在模型可见面上单击一次。","光标变十字后进入打点模式；点击面后创建 `MarkerN`，状态回 `Ready`，并提示创建成功。","No","Webview QA",""
"RIB-006","functional","P1","L2","当前无 marker","1. 点击 Ribbon `deleteFrame`。","弹出提示 `No markers to delete`。","No","Webview QA",""
"RIB-007","functional","P1","L2","至少已创建 1 个 marker","1. 点击 Ribbon `deleteFrame`。","删除最后创建的 marker；提示 `Marker ""xxx"" deleted`；状态信息更新。","No","Webview QA",""
"RIB-008","functional","P0","L2","已导入模型，但选择历史不足 2 个不同零件","1. 点击任一关节动作（如 `createJoint_revolute`）。","弹出提示 `Need at least two selected parts to create a joint.`","No","Webview QA",""
"RIB-009","functional","P0","L3","已导入包含 2+ 零件模型，已依次选中两个不同零件","1. 点击 `createJoint_revolute`。","成功创建关节；Properties 显示 `Joint Properties`，`Type=revolute`，`Part 1/Part 2` 正确。","No","Webview QA",""
"RIB-010","functional","P1","L2","同 RIB-009 前置","1. 点击 `createJoint_prismatic`。","成功创建第二个关节；类型为 `prismatic`。","No","Webview QA",""
"RIB-011","functional","P0","L2","当前无关节","1. 点击 `createMotion_translational`。","弹出提示 `No joint found. Please create a joint first.`","No","Webview QA",""
"RIB-012","functional","P0","L3","已存在至少 1 个关节","1. 点击 `createMotion_translational`。","成功创建 motion；Properties 显示 `Motion Type=translational`，`Connector Ref` 指向最新关节名。","No","Webview QA",""
"RIB-013","functional","P1","L2","已存在至少 1 个 motion","1. 点击 `motionProperties`。","Properties 展示最近 motion 的详细字段（ID/Name/Motion Type/Connector Ref）。","No","Webview QA",""
"RIB-014","functional","P1","L2","已导入模型，可选中零件","1. 选中任意零件。<br>2. 点击 `fluidTankSlice`。","创建 `RibSliceN` 成功；Properties 显示 `Fluid Slice Properties`。","No","Webview QA",""
